2100000A,0.0,0.0,0.0,0.0,0.0,2011/01/19 15:33:55,0,0,0,0,0,1
2100000A,0.0,0.0,0.0,0.0,0.0,2011/01/19 15:33:55,0,0,0,0,0,1
2100000A,0.0,0.0,0.0,0.0,0.0,2011/01/19 15:34:26,0,0,0,0,0,1
2100000A,0.0,0.0,0.0,0.0,0.0,2011/01/19 15:34:56,0,0,0,0,0,1
2100000A,0.0,0.0,0.0,0.0,0.0,2011/01/19 15:35:27,0,0,0,0,0,1
2100000A,0.0,0.0,0.0,0.0,0.0,2011/01/19 15:35:57,0,0,0,0,0,1
2100000A,0.0,0.0,0.0,0.0,0.0,2011/01/19 15:36:28,0,0,0,0,0,1
2100000A,0.0,0.0,0.0,0.0,0.0,2011/01/19 15:36:59,0,0,0,0,0,1
2100000A,0.0,0.0,0.0,0.0,0.0,2011/01/19 15:37:30,0,0,0,0,0,1
2100000A,0.0,0.0,0.0,0.0,0.0,2011/01/19 15:38:00,0,0,0,0,0,1
2100000A,0.0,0.0,0.0,0.0,0.0,2011/01/19 15:38:31,0,0,0,0,0,1
2100000A,0.0,0.0,0.0,0.0,0.0,2011/01/19 15:39:01,0,0,0,0,0,1
2100000A,0.0,0.0,0.0,0.0,0.0,2011/01/19 15:39:32,0,0,0,0,0,1
2100000A,0.0,0.0,0.0,0.0,0.0,2011/01/19 15:40:02,0,0,0,0,0,1
2100000A,0.0,0.0,0.0,0.0,0.0,2011/01/19 15:40:33,0,0,0,0,0,1
2100000A,0.0,0.0,0.0,0.0,0.0,2011/01/19 15:41:04,0,0,0,0,0,1
2100000A,0.0,0.0,0.0,0.0,0.0,2011/01/19 15:41:34,0,0,0,0,0,1
2100000A,0.0,0.0,0.0,0.0,0.0,2011/01/19 15:42:05,0,0,0,0,0,1
2100000A,0.0,0.0,0.0,0.0,0.0,2011/01/19 15:42:35,0,0,0,0,0,1
